date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2025-07-01 00:00:00,27.5,24,31,0.9,,,3.7,,1008.4,
2025-07-02 00:00:00,27.2,25,30.2,9.2,,,4,,1009,
2025-07-03 00:00:00,27.4,25,32,1.4,,,4.4,,1009.6,
2025-07-04 00:00:00,26.4,24,30,2.1,,,4,,1010.1,
2025-07-05 00:00:00,28.8,25.5,33.5,0,,,3.6,,1008.8,
2025-07-06 00:00:00,27.8,24.9,31.1,2.7,,,4.1,,1008.9,
2025-07-07 00:00:00,30.1,25.8,34.2,0,,,6.2,,1008.9,
2025-07-08 00:00:00,28.4,26,32,7.2,,,5.9,,1010,
2025-07-09 00:00:00,30.7,26,36.7,0,,,4.5,,1009.1,
2025-07-10 00:00:00,28.5,25,33,0,,,4.8,,1007.7,
2025-07-11 00:00:00,30.6,24,36,0,,,4.4,,1006.4,
2025-07-12 00:00:00,26.5,23,30,7.3,,,6.1,,1008.2,
2025-07-13 00:00:00,27.2,25,31,8.5,,,4.4,,1008.8,
2025-07-14 00:00:00,29.8,26.7,32.6,7.2,,,6.1,,1008.8,
2025-07-15 00:00:00,27.8,25,31.2,0,,,5.6,,1008.5,
2025-07-16 00:00:00,30.4,25.6,34.5,4.1,,,5.4,,1008.1,
2025-07-17 00:00:00,27.7,25,30,0,,,3.4,,1008.6,
2025-07-18 00:00:00,30.9,25.2,36,0,,,5.1,,1007.9,
2025-07-19 00:00:00,28,24,33,0,,,4.1,,1006.4,
2025-07-20 00:00:00,30.4,26.5,34.9,0,,,3.1,,1006.8,
2025-07-21 00:00:00,31.1,26.7,35.4,0.5,,,3.6,,1007.7,
2025-07-22 00:00:00,26.8,24,30.1,0.1,,,5.2,,1007.3,
2025-07-23 00:00:00,27,23,31,1.1,,,4.9,,1006.4,
2025-07-24 00:00:00,29.9,26.2,33.3,3.6,,,5,,1006.8,
2025-07-25 00:00:00,26.9,25,30,4.3,,,2.9,,1007.9,
2025-07-26 00:00:00,28,25,31,6.5,,,4,,1008.7,
2025-07-27 00:00:00,28,26,32.1,7.3,,,5.4,,1009.3,
2025-07-28 00:00:00,30.5,25.1,35.3,3.3,,,5,,1008.6,
2025-07-29 00:00:00,29.3,26,32.1,0.9,,,7.8,,1007.6,
2025-07-30 00:00:00,29.8,25.8,34.1,1,,,6.6,,1009,
2025-07-31 00:00:00,30.6,26.3,35.2,1.3,,,5.4,,1008.4,
